name,family,tier,status,retrieved,accepted,pages,duration_ms,error,note
Adzuna CA: business intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: compliance intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: contract intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: data analyst intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: finance intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: human resources intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: legal intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: marketing intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna CA: policy intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: audit intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: business intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: compliance intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: contract intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: data analyst intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: finance intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: human resources intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: legal intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: marketing intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Adzuna US: policy intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
Ashby: 1Password,ashby,standard,success,63,63,1,958,,
Ashby: Anthropic,ashby,standard,error,0,0,0,158,HTTPError: 404 Client Error: Not Found for url: https://api.ashbyhq.com/posting-api/job-board/anthropic,
Ashby: Brex,ashby,standard,error,0,0,0,231,HTTPError: 404 Client Error: Not Found for url: https://api.ashbyhq.com/posting-api/job-board/brex,
Ashby: Deel,ashby,standard,empty,0,0,1,222,,
Ashby: Etched,ashby,standard,success,110,48,1,1620,,
Ashby: Glean,ashby,standard,error,0,0,0,190,HTTPError: 404 Client Error: Not Found for url: https://api.ashbyhq.com/posting-api/job-board/glean,
Ashby: Harvey,ashby,standard,success,301,111,1,2303,,
Ashby: Intercom,ashby,standard,error,0,0,0,275,HTTPError: 404 Client Error: Not Found for url: https://api.ashbyhq.com/posting-api/job-board/intercom,
Ashby: Linear,ashby,standard,empty,30,0,1,243,,
Ashby: Notion,ashby,standard,success,129,25,1,914,,
Ashby: OpenAI,ashby,standard,success,832,320,1,5492,,
Ashby: Perplexity,ashby,standard,success,123,41,1,923,,
Ashby: Ramp,ashby,standard,success,159,75,1,1433,,
Ashby: Remote,ashby,standard,error,0,0,0,203,HTTPError: 404 Client Error: Not Found for url: https://api.ashbyhq.com/posting-api/job-board/remote,
Ashby: Replit,ashby,standard,success,74,24,1,506,,
Ashby: Watershed,ashby,standard,success,39,15,1,819,,
CareerOneStop: audit intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: business intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: compliance intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: contracts intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: data analyst intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: finance intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: human resources intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: legal intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: marketing intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
CareerOneStop: policy intern,careeronestop,optional,skipped,0,0,0,0,,Set CAREERONESTOP_TOKEN and CAREERONESTOP_USER_ID repository secrets
RSS: CivicJobs.ca — Canadian municipal and public-sector jobs,civicjobs,standard,success,548,1,1,497,,
U.S. program: Bureau of Competition Legal Internships,government_us,standard,error,0,0,0,1763,HTTPError: 404 Client Error: Not Found for url: https://www.ftc.gov/about-ftc/bureaus-offices/bureau-competition/careers-bureau-competition/legal-internships,
U.S. program: Pathways Internship Program,government_us,core,success,1,1,1,168,,
U.S. program: Student Internship Program,government_us,standard,success,1,1,1,1784,,
U.S. program: Volunteer Legal Internships,government_us,standard,success,1,1,1,180,,
USAJOBS: audit intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: business intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: compliance intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: contract specialist intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: finance intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: human resources intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: law clerk intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: legal intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: management intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: pathways intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: policy intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: program analyst intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: public affairs intern,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
USAJOBS: student trainee,government_us,optional,skipped,0,0,0,0,,Set USAJOBS_API_KEY and USAJOBS_EMAIL repository secrets
Greenhouse: Affirm,greenhouse,standard,success,186,22,1,561,,
Greenhouse: Airbnb,greenhouse,standard,success,157,81,1,1320,,
Greenhouse: ApplyBoard,greenhouse,standard,error,0,0,0,211,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/applyboard/jobs?content=true,
Greenhouse: Asana,greenhouse,standard,success,98,9,1,1143,,
Greenhouse: Clio,greenhouse,standard,error,0,0,0,104,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/clio/jobs?content=true,
Greenhouse: Cloudflare,greenhouse,standard,success,393,1,1,732,,
Greenhouse: Cohere,greenhouse,standard,error,0,0,0,2896,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/cohere/jobs?content=true,
Greenhouse: Coinbase,greenhouse,standard,success,208,54,1,436,,
"Greenhouse: Connor, Clark & Lunn Financial Group",greenhouse,standard,success,79,37,1,281,,
Greenhouse: CrowdStrike,greenhouse,standard,error,0,0,0,190,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/crowdstrike/jobs?content=true,
Greenhouse: Datadog,greenhouse,standard,success,449,132,1,3063,,
Greenhouse: DoorDash,greenhouse,standard,success,456,99,1,3613,,
Greenhouse: Dropbox,greenhouse,standard,success,47,2,1,2927,,
Greenhouse: Eulerity,greenhouse,standard,success,15,9,1,337,,
Greenhouse: Flow Traders,greenhouse,standard,success,47,32,1,261,,
Greenhouse: Gotion,greenhouse,standard,success,150,75,1,1795,,
Greenhouse: Instacart,greenhouse,standard,success,110,53,1,542,,
Greenhouse: Lyft,greenhouse,standard,success,178,66,1,1211,,
Greenhouse: MongoDB,greenhouse,standard,success,396,42,1,1785,,
Greenhouse: Okta,greenhouse,standard,success,334,52,1,580,,
Greenhouse: Per Scholas,greenhouse,standard,success,32,32,1,511,,
Greenhouse: Pinterest,greenhouse,standard,success,154,35,1,512,,
Greenhouse: Plaid,greenhouse,standard,error,0,0,0,169,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/plaid/jobs?content=true,
Greenhouse: Point72,greenhouse,standard,success,220,79,1,1907,,
Greenhouse: PointClickCare,greenhouse,standard,error,0,0,0,93,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/pointclickcare/jobs?content=true,
Greenhouse: Reddit,greenhouse,standard,success,151,70,1,1205,,
Greenhouse: Robinhood,greenhouse,standard,success,161,66,1,524,,
Greenhouse: Rocket Lab,greenhouse,standard,success,526,453,1,5633,,
Greenhouse: StackAdapt,greenhouse,standard,success,74,33,1,636,,
Greenhouse: Stripe,greenhouse,standard,success,698,229,1,1734,,
Greenhouse: The Trade Desk,greenhouse,standard,success,98,88,1,1727,,
Greenhouse: Two Sigma,greenhouse,standard,error,0,0,0,127,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/twosigma/jobs?content=true,
Greenhouse: Walleye Capital,greenhouse,standard,success,5,4,1,118,,
Greenhouse: Wealthsimple,greenhouse,standard,error,0,0,0,125,HTTPError: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/wealthsimple/jobs?content=true,
Jooble Canada: business intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble Canada: compliance intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble Canada: contract intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble Canada: finance intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble Canada: legal intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble Canada: policy intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: business intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: compliance intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: contract intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: finance intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: legal intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Jooble United States: policy intern,jooble,optional,skipped,0,0,0,0,,Set JOOBLE_API_KEY repository secret
Program page: BLG Student Programs,law_firm_programs,standard,success,1,1,1,374,,
Program page: Bennett Jones Law Student Programs,law_firm_programs,standard,success,1,1,1,934,,
Program page: Blakes Law Student Programs,law_firm_programs,standard,success,1,1,1,658,,
Program page: Blakes Pre-Law Internship Opportunities,law_firm_programs,standard,success,1,1,1,675,,
Program page: Dentons Canada Summer and Articling Programs,law_firm_programs,standard,success,1,1,1,901,,
Program page: Fasken Law Student Programs,law_firm_programs,standard,error,0,0,0,264,HTTPError: 403 Client Error: Forbidden for url: https://www.fasken.com/en/careers,
Program page: Gowling WLG Canada Student Programs,law_firm_programs,standard,success,1,1,1,635,,
Program page: McCarthy Tétrault Student Programs,law_firm_programs,standard,error,0,0,0,3853,"RetryError: HTTPSConnectionPool(host='www.mccarthy.ca', port=443): Max retries exceeded with url: /en/careers/students (Caused by ResponseError('too many 429 error responses'))",
Program page: Norton Rose Fulbright Canada Student Programs,law_firm_programs,standard,success,1,1,1,2272,,
Program page: Osler Law Student Programs,law_firm_programs,standard,success,1,1,1,480,,
Program page: Stikeman Elliott Law Student Programs,law_firm_programs,standard,success,1,1,1,3286,,
Program page: Torys Student Program,law_firm_programs,standard,success,1,1,1,1224,,
Lever: Anduril Industries,lever,standard,error,0,0,0,224,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/anduril?mode=json,
Lever: Bench Accounting,lever,standard,error,0,0,0,245,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/bench?mode=json,
Lever: Canva,lever,standard,error,0,0,0,242,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/canva?mode=json,
Lever: Chainalysis,lever,standard,error,0,0,0,231,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/chainalysis?mode=json,
Lever: FreshBooks,lever,standard,error,0,0,0,160,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/freshbooks?mode=json,
Lever: Gusto,lever,standard,error,0,0,0,450,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/gusto?mode=json,
Lever: Highspot,lever,standard,empty,0,0,1,326,,
Lever: Hootsuite,lever,standard,error,0,0,0,188,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/hootsuite?mode=json,
Lever: Palantir,lever,standard,success,324,95,1,1075,,
Lever: Samsara,lever,standard,error,0,0,0,285,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/samsara?mode=json,
Lever: SeatGeek,lever,standard,error,0,0,0,3127,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/seatgeek?mode=json,
Lever: Upwork,lever,standard,error,0,0,0,547,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/upwork?mode=json,
Lever: Veeva Systems,lever,standard,success,913,58,1,6115,,
Lever: Yelp,lever,standard,error,0,0,0,2838,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/yelp?mode=json,
Lever: ecobee,lever,standard,error,0,0,0,193,HTTPError: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/ecobee?mode=json,
Automated Internship Engine,public_feeds,standard,success,109,109,1,134,,
Daily Canadian Internship Tracker,public_feeds,standard,empty,0,0,1,185,,
Zapply Internships 2027,public_feeds,standard,success,171,171,1,346,,
SmartRecruiters: Bosch,smartrecruiters,standard,success,500,8,5,3708,,
SmartRecruiters: Experian,smartrecruiters,standard,empty,416,0,5,3443,,
SmartRecruiters: NBCUniversal,smartrecruiters,standard,success,387,20,4,3048,,
SmartRecruiters: Publicis Groupe,smartrecruiters,standard,empty,0,0,1,445,,
SmartRecruiters: ServiceNow,smartrecruiters,standard,success,500,4,5,3329,,
SmartRecruiters: Sia Partners,smartrecruiters,standard,empty,0,0,1,502,,
SmartRecruiters: Ubisoft,smartrecruiters,standard,success,309,24,4,2537,,
SmartRecruiters: Visa,smartrecruiters,standard,empty,0,0,1,586,,
SuccessFactors: Bank of Canada,successfactors,standard,success,28,14,2,791,,
SuccessFactors: Scotiabank,successfactors,standard,success,50,25,2,1158,,
The Muse internship API,the_muse,standard,success,400,195,20,7871,,
Workday: 407 ETR,workday,standard,success,84,12,9,6722,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: ABB,workday,standard,success,954,40,50,46051,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: BMO Campus,workday,standard,success,81,39,5,5036,,Targeted Workday queries: all jobs
Workday: Brookfield,workday,standard,success,236,45,15,11401,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: CIBC Campus,workday,standard,success,217,28,14,13483,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: CPP Investments,workday,standard,success,83,8,8,3618,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Comcast,workday,standard,error,0,0,0,168,HTTPError: 422 Client Error: Unprocessable Entity for url: https://comcast.wd5.myworkdayjobs.com/wday/cxs/comcast/Comcast_Careers/jobs,
Workday: Desjardins,workday,standard,success,260,34,16,15028,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: HARMAN International,workday,standard,success,645,70,35,28672,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Intact Financial,workday,standard,success,307,54,17,12980,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Interac,workday,standard,success,113,14,10,7398,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Manulife,workday,standard,success,430,46,23,24250,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Maple Leaf Sports & Entertainment,workday,standard,success,40,2,6,2952,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: McKesson,workday,standard,success,356,39,19,16377,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: OLG Student Opportunities,workday,standard,empty,0,0,1,747,,Targeted Workday queries: all jobs
Workday: OMERS,workday,standard,success,128,16,10,8792,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Ontario Teachers' Pension Plan,workday,standard,success,105,17,9,6863,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: PSP Investments,workday,standard,success,111,20,9,4182,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: RBC Early Talent,workday,standard,success,72,7,4,18067,,Targeted Workday queries: all jobs
Workday: S&P Global,workday,standard,success,891,153,47,38775,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Sony,workday,standard,success,306,38,18,14103,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Sun Life Campus,workday,standard,success,41,4,3,3256,,Targeted Workday queries: all jobs
Workday: TD Bank,workday,standard,success,471,88,25,27376,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: TMX Group,workday,standard,success,141,27,11,4780,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
Workday: Thomson Reuters,workday,standard,success,245,55,15,12529,,"Targeted Workday queries: intern, student, co-op, summer analyst, summer associate"
